index,time1,time2,group
1,1464808948,1464809008,d33
1,1464809109,1464809169,d33
1,1464809319,1464809379,d33
1,1464809487,1464809547,d33
1,1464809697,1464809757,d33
1,1464809781,1464809841,d33
1,1464810338,1464810398,d33
1,1464810685,1464810745,d33
1,1464810841,1464810901,d33
1,1464811051,1464811111,d33
1,1464811220,1464811280,d33
1,1464811398,1464811458,d33
1,1464813191,1464813251,d33
1,1464813571,1464813631,d33
1,1464813613,1464813673,d33
1,1464816076,1464816136,d33
1,1464816249,1464816309,d33
1,1464816329,1464816389,d33
1,1464816589,1464816649,d33
1,1464816737,1464816797,d33
1,1464816782,1464816842,d33
1,1464817053,1464817113,d33
1,1464817139,1464817199,d33
1,1464817422,1464817482,d33
1,1464817622,1464817682,d33
1,1464817702,1464817762,d33
1,1464819675,1464819735,d33
1,1464819717,1464819777,d33
1,1464820205,1464820265,d33
1,1464820334,1464820394,d33
1,1464822891,1464822951,d33
1,1464823014,1464823074,d33
1,1464823178,1464823238,d33
1,1464823219,1464823279,d33
1,1464826201,1464826261,d33
1,1464826321,1464826381,d33
1,1464826521,1464826581,d33
1,1464826681,1464826741,d33
1,1464827941,1464828001,d33
1,1464828093,1464828153,d33
1,1464828261,1464828321,d33
1,1464828437,1464828497,d33
1,1464828601,1464828661,d33
1,1464828794,1464828854,d33
1,1464828848,1464828908,d33
1,1464829731,1464829791,d33
1,1464829898,1464829958,d33
1,1464830039,1464830099,d33
1,1464830165,1464830225,d33
1,1464831196,1464831256,d33
1,1464831369,1464831429,d33
1,1464831442,1464831502,d33
1,1464831880,1464831940,d33
1,1464832078,1464832138,d33
1,1464832258,1464832318,d33
1,1464832438,1464832498,d33
1,1464833786,1464833846,d33
1,1464833958,1464834018,d33
1,1464834001,1464834061,d33
1,1464835372,1464835432,d33
1,1464835456,1464835516,d33
1,1464835682,1464835742,d33
1,1464836912,1464836972,d33
1,1464837413,1464837473,d33
1,1464843155,1464843215,d33
1,1464843331,1464843391,d33
1,1464843507,1464843567,d33
1,1464843727,1464843787,d33
1,1464843815,1464843875,d33
1,1464845358,1464845418,d33
1,1464845490,1464845550,d33
1,1464850645,1464850705,d33
1,1464861071,1464861131,d33
1,1464861223,1464861283,d33
1,1464861359,1464861419,d33
1,1464861510,1464861570,d33
1,1464861674,1464861734,d33
1,1464861810,1464861870,d33
1,1464862188,1464862248,d33
2,1464799135,1464799195,d33
2,1464799311,1464799371,d33
2,1464799355,1464799415,d33
2,1464800626,1464800686,d33
2,1464800724,1464800784,d33
2,1464804758,1464804818,d33
2,1464804932,1464804992,d33
2,1464805793,1464805853,d33
2,1464807481,1464807541,d33
2,1464807563,1464807623,d33
2,1464809135,1464809195,d33
2,1464809504,1464809564,d33
2,1464809580,1464809640,d33
2,1464810013,1464810073,d33
2,1464810189,1464810249,d33
2,1464810322,1464810382,d33
2,1464812026,1464812086,d33
2,1464812175,1464812235,d33
2,1464813682,1464813742,d33
2,1464814862,1464814922,d33
2,1464815562,1464815622,d33
2,1464816893,1464816953,d33
2,1464817055,1464817115,d33
2,1464817143,1464817203,d33
2,1464817451,1464817511,d33
2,1464819871,1464819931,d33
2,1464820047,1464820107,d33
2,1464820179,1464820239,d33
2,1464823022,1464823082,d33
2,1464823182,1464823242,d33
2,1464823348,1464823408,d33
2,1464823428,1464823488,d33
2,1464823806,1464823866,d33
2,1464823948,1464824008,d33
2,1464825543,1464825603,d33
2,1464825585,1464825645,d33
2,1464826064,1464826124,d33
2,1464827080,1464827140,d33
2,1464827229,1464827289,d33
2,1464827920,1464827980,d33
2,1464828002,1464828062,d33
2,1464828234,1464828294,d33
2,1464828357,1464828417,d33
2,1464828602,1464828662,d33
2,1464829808,1464829868,d33
2,1464834791,1464834851,d33
2,1464834991,1464835051,d33
2,1464835151,1464835211,d33
2,1464835191,1464835251,d33
2,1464835711,1464835771,d33
2,1464835755,1464835815,d33
2,1464836191,1464836251,d33
2,1464839157,1464839217,d33
2,1464842658,1464842718,d33
2,1464842796,1464842856,d33
2,1464842822,1464842882,d33
2,1464850539,1464850599,d33
2,1464850739,1464850799,d33
2,1464850939,1464850999,d33
2,1464851099,1464851159,d33
2,1464851233,1464851293,d33
2,1464851404,1464851464,d33
2,1464851431,1464851491,d33
2,1464854015,1464854075,d33
2,1464855656,1464855716,d33
2,1464855696,1464855756,d33
3,1464804791,1464804851,d33
3,1464804967,1464805027,d33
3,1464805172,1464805232,d33
3,1464805369,1464805429,d33
3,1464805526,1464805586,d33
3,1464805664,1464805724,d33
3,1464805869,1464805929,d33
3,1464806033,1464806093,d33
3,1464806221,1464806281,d33
3,1464806387,1464806447,d33
3,1464806540,1464806600,d33
3,1464806708,1464806768,d33
3,1464806853,1464806913,d33
3,1464807017,1464807077,d33
3,1464807153,1464807213,d33
3,1464807357,1464807417,d33
3,1464807505,1464807565,d33
3,1464807637,1464807697,d33
3,1464807813,1464807873,d33
3,1464807960,1464808020,d33
3,1464808083,1464808143,d33
3,1464808306,1464808366,d33
3,1464808452,1464808512,d33
3,1464808616,1464808676,d33
3,1464808759,1464808819,d33
3,1464810586,1464810646,d33
3,1464812405,1464812465,d33
3,1464812523,1464812583,d33
3,1464812683,1464812743,d33
3,1464812845,1464812905,d33
3,1464813005,1464813065,d33
3,1464813165,1464813225,d33
3,1464813365,1464813425,d33
3,1464813565,1464813625,d33
3,1464813645,1464813705,d33
3,1464813885,1464813945,d33
3,1464816577,1464816637,d33
3,1464816765,1464816825,d33
3,1464816885,1464816945,d33
3,1464817045,1464817105,d33
3,1464817245,1464817305,d33
3,1464817456,1464817516,d33
3,1464817645,1464817705,d33
3,1464817805,1464817865,d33
3,1464817965,1464818025,d33
3,1464818165,1464818225,d33
3,1464818205,1464818265,d33
3,1464821358,1464821418,d33
3,1464821446,1464821506,d33
3,1464825066,1464825126,d33
3,1464827111,1464827171,d33
3,1464827288,1464827348,d33
3,1464827383,1464827443,d33
3,1464827585,1464827645,d33
3,1464827939,1464827999,d33
3,1464828069,1464828129,d33
3,1464828245,1464828305,d33
3,1464828377,1464828437,d33
3,1464828617,1464828677,d33
3,1464828729,1464828789,d33
3,1464828949,1464829009,d33
3,1464829081,1464829141,d33
3,1464829257,1464829317,d33
3,1464829741,1464829801,d33
3,1464831914,1464831974,d33
3,1464832073,1464832133,d33
3,1464832249,1464832309,d33
3,1464832777,1464832837,d33
3,1464832953,1464833013,d33
3,1464833129,1464833189,d33
3,1464833306,1464833366,d33
3,1464833466,1464833526,d33
3,1464833617,1464833677,d33
3,1464833789,1464833849,d33
3,1464833983,1464834043,d33
3,1464834097,1464834157,d33
3,1464834317,1464834377,d33
3,1464834449,1464834509,d33
3,1464834625,1464834685,d33
3,1464834801,1464834861,d33
3,1464836887,1464836947,d33
3,1464837364,1464837424,d33
3,1464837532,1464837592,d33
3,1464837747,1464837807,d33
3,1464838822,1464838882,d33
3,1464839013,1464839073,d33
3,1464839166,1464839226,d33
3,1464839295,1464839355,d33
3,1464839639,1464839699,d33
3,1464840033,1464840093,d33
3,1464840198,1464840258,d33
3,1464840403,1464840463,d33
3,1464840413,1464840473,d33
3,1464840601,1464840661,d33
3,1464842160,1464842220,d33
3,1464842332,1464842392,d33
3,1464842434,1464842494,d33
3,1464842803,1464842863,d33
3,1464843147,1464843207,d33
3,1464849325,1464849385,d33
7,1464793809,1464793869,d33
7,1464793935,1464793995,d33
7,1464794133,1464794193,d33
7,1464794320,1464794380,d33
7,1464794511,1464794571,d33
7,1464796527,1464796587,d33
7,1464796695,1464796755,d33
7,1464796863,1464796923,d33
7,1464796905,1464796965,d33
7,1464800189,1464800249,d33
7,1464800321,1464800381,d33
7,1464800543,1464800603,d33
7,1464800669,1464800729,d33
7,1464801235,1464801295,d33
7,1464801416,1464801476,d33
7,1464801467,1464801527,d33
7,1464802435,1464802495,d33
7,1464802617,1464802677,d33
7,1464802701,1464802761,d33
7,1464802869,1464802929,d33
7,1464804289,1464804349,d33
7,1464804297,1464804357,d33
7,1464804634,1464804694,d33
7,1464805106,1464805166,d33
7,1464806029,1464806089,d33
7,1464806070,1464806130,d33
7,1464808119,1464808179,d33
7,1464808371,1464808431,d33
7,1464809522,1464809582,d33
7,1464809564,1464809624,d33
7,1464810429,1464810489,d33
7,1464818590,1464818650,d33
7,1464819249,1464819309,d33
7,1464819875,1464819935,d33
7,1464820005,1464820065,d33
7,1464820383,1464820443,d33
7,1464820467,1464820527,d33
7,1464820929,1464820989,d33
7,1464821070,1464821130,d33
7,1464821097,1464821157,d33
7,1464821397,1464821457,d33
7,1464821895,1464821955,d33
7,1464822735,1464822795,d33
7,1464822810,1464822870,d33
7,1464823029,1464823089,d33
7,1464823071,1464823131,d33
7,1464823911,1464823971,d33
7,1464824163,1464824223,d33
7,1464824331,1464824391,d33
7,1464827285,1464827345,d33
7,1464828419,1464828479,d33
7,1464828771,1464828831,d33
7,1464828903,1464828963,d33
