index,time1,time2,group
1,1464722090,1464722150,d2
1,1464726957,1464727017,d2
1,1464727095,1464727155,d2
1,1464729380,1464729440,d2
1,1464730126,1464730186,d2
1,1464730298,1464730358,d2
1,1464730470,1464730530,d2
1,1464730556,1464730616,d2
1,1464730771,1464730831,d2
1,1464730814,1464730874,d2
1,1464731128,1464731188,d2
1,1464731312,1464731372,d2
1,1464731481,1464731541,d2
1,1464731604,1464731664,d2
1,1464731809,1464731869,d2
1,1464732100,1464732160,d2
1,1464737170,1464737230,d2
1,1464737342,1464737402,d2
1,1464737514,1464737574,d2
1,1464737686,1464737746,d2
1,1464737858,1464737918,d2
1,1464737987,1464738047,d2
1,1464738030,1464738090,d2
1,1464738636,1464738696,d2
1,1464739756,1464739816,d2
1,1464739926,1464739986,d2
1,1464740014,1464740074,d2
1,1464740359,1464740419,d2
1,1464743535,1464743595,d2
1,1464746993,1464747053,d2
1,1464747128,1464747188,d2
1,1464747353,1464747413,d2
1,1464747868,1464747928,d2
1,1464747912,1464747972,d2
1,1464749368,1464749428,d2
1,1464749588,1464749648,d2
1,1464749676,1464749736,d2
1,1464749942,1464750002,d2
1,1464750033,1464750093,d2
1,1464754319,1464754379,d2
1,1464754491,1464754551,d2
1,1464756475,1464756535,d2
1,1464756639,1464756699,d2
1,1464757063,1464757123,d2
1,1464757192,1464757252,d2
1,1464769291,1464769351,d2
2,1464705616,1464705676,d2
2,1464705660,1464705720,d2
2,1464710870,1464710930,d2
2,1464711082,1464711142,d2
2,1464712235,1464712295,d2
2,1464716893,1464716953,d2
2,1464717057,1464717117,d2
2,1464717139,1464717199,d2
2,1464717344,1464717404,d2
2,1464719029,1464719089,d2
2,1464721764,1464721824,d2
2,1464721919,1464721979,d2
2,1464723850,1464723910,d2
2,1464723934,1464723994,d2
2,1464724282,1464724342,d2
2,1464724923,1464724983,d2
2,1464725276,1464725336,d2
2,1464725721,1464725781,d2
2,1464725791,1464725851,d2
2,1464725955,1464726015,d2
2,1464727592,1464727652,d2
2,1464727636,1464727696,d2
2,1464727920,1464727980,d2
